canonical_ticker,session_date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,source_symbol,delisting_return,corporate_action_note
NVDA,2026-06-09,210.619995117188,211.399993896484,199.339996337891,208.190002441406,180962500,NVDA,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-10,204.429992675781,207.220001220703,199.919998168945,200.419998168945,161746600,NVDA,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-11,201.490005493164,205.660003662109,199.539993286133,204.869995117188,158643200,NVDA,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-12,204.860000610352,207.070007324219,203.440002441406,205.190002441406,112001800,NVDA,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-15,208.919998168945,212.710006713867,208.339996337891,212.449996948242,149936700,NVDA,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-16,211.179992675781,211.490005493164,207.289993286133,207.410003662109,125694100,NVDA,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-17,208.529998779297,209.210006713867,203.080001831055,204.649993896484,128363500,NVDA,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-18,207.330001831055,211.389999389648,206.5,210.690002441406,241272000,NVDA,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-22,211.440002441406,213.990005493164,207.720001220703,208.649993896484,122041400,NVDA,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-23,202.169998168945,203.770004272461,200,200.039993286133,153496200,NVDA,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-24,200.119995117188,201.669998168945,196.580001831055,199,151810700,NVDA,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-25,200.080001831055,200.800003051758,192.130004882812,195.740005493164,149550000,NVDA,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
NVDA,2026-06-26,193.119995117188,195.550003051758,191.220001220703,192.529998779297,179304100,NVDA,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
